years_experience,education_level,job_category,company_size,salary,num_employees
7,Bachelor,Business Analyst,Large,37995,6215
20,Bachelor,Project Manager,Medium,69749,1232
15,Bachelor,Project Manager,Medium,62176,1364
11,Master,QA Engineer,Large,49238,6769
8,Bachelor,Business Analyst,Small,39353,471
7,Master,Data Analyst,Small,54809,195
19,Bachelor,Data Scientist,Small,57351,319
11,Bachelor,Project Manager,Small,47977,203
11,Master,QA Engineer,Large,59101,7809
4,Master,Data Scientist,Small,39929,119
8,PhD,Software Developer,Small,62442,316
3,Bachelor,QA Engineer,Small,33427,51
2,Master,Software Developer,Small,36919,330
12,PhD,Project Manager,Small,66983,299
6,PhD,QA Engineer,Medium,58656,1974
2,Master,Data Analyst,Medium,32478,1158
1,Bachelor,Data Scientist,Small,41624,299
12,PhD,Data Scientist,Large,72049,5027
12,Bachelor,Business Analyst,Large,50951,5798
17,Bachelor,QA Engineer,Medium,62817,648
10,PhD,QA Engineer,Large,58896,6699
16,Master,Software Developer,Medium,65627,923
15,Bachelor,QA Engineer,Small,40810,494
15,MBA,Data Scientist,Small,70910,217
19,Master,QA Engineer,Large,78029,5123
12,PhD,Business Analyst,Large,69911,5665
20,MBA,Business Analyst,Large,78459,9263
3,Bachelor,Data Scientist,Small,39498,463
5,Master,Data Scientist,Small,41423,58
19,MBA,Data Scientist,Large,78885,7693
7,Master,QA Engineer,Large,40799,5444
9,Bachelor,QA Engineer,Large,49496,5255
7,Master,Data Analyst,Large,46622,3532
18,MBA,Project Manager,Medium,81103,1800
4,Master,Project Manager,Large,42960,6397
14,PhD,Software Developer,Large,61638,5110
18,PhD,QA Engineer,Medium,74172,1863
9,MBA,Data Analyst,Medium,64613,1267
2,Master,Data Analyst,Medium,41544,1834
20,MBA,Business Analyst,Medium,87585,1945
15,Master,QA Engineer,Large,66468,4598
7,Bachelor,Data Analyst,Small,48682,463
12,PhD,Business Analyst,Small,62547,454
8,Bachelor,Software Developer,Small,58048,391
15,Master,Business Analyst,Small,65948,350
3,Bachelor,Software Developer,Small,36385,189
14,MBA,Project Manager,Small,76524,91
17,MBA,Project Manager,Medium,71557,549
4,Master,Data Scientist,Medium,48072,1106
18,PhD,Data Scientist,Small,68736,173
8,MBA,Business Analyst,Large,62916,5000
4,PhD,Data Scientist,Large,55169,7915
2,Master,QA Engineer,Small,39150,230
6,PhD,Business Analyst,Large,53993,8820
10,Master,Data Analyst,Medium,55380,531
4,Bachelor,QA Engineer,Medium,41315,1564
18,Master,Business Analyst,Large,61740,6953
12,Bachelor,Project Manager,Small,48904,207
2,Master,Software Developer,Medium,42092,1383
10,MBA,Data Scientist,Large,76011,5290
4,MBA,Data Scientist,Large,66031,9659
14,PhD,Data Scientist,Medium,56476,1821
16,Master,Business Analyst,Medium,55152,1458
15,Master,QA Engineer,Small,52923,351
8,Master,Software Developer,Large,48407,6286
14,PhD,Data Scientist,Small,70993,119
8,MBA,QA Engineer,Medium,61566,1599
16,Master,Data Analyst,Large,62516,9416
13,PhD,Project Manager,Medium,69156,1977
18,Master,Data Analyst,Medium,51773,1409
15,Bachelor,Software Developer,Medium,51308,1097
13,Master,Data Scientist,Small,48609,396
9,Bachelor,Data Analyst,Medium,43642,978
15,PhD,Project Manager,Small,68424,275
13,PhD,QA Engineer,Medium,54989,1115
1,MBA,QA Engineer,Medium,57227,1442
7,Master,Data Analyst,Large,40584,5962
9,PhD,Data Scientist,Medium,52450,1949
1,MBA,Project Manager,Large,63196,8554
12,Master,Software Developer,Large,58886,8700
8,PhD,Data Scientist,Small,51234,109
11,Bachelor,Business Analyst,Large,49195,3914
19,PhD,Data Analyst,Large,69635,2398
17,Bachelor,Business Analyst,Medium,57769,1167
8,MBA,Data Analyst,Medium,70004,1464
3,MBA,Software Developer,Small,72253,170
3,Master,Data Scientist,Large,42903,6975
1,Master,Project Manager,Large,52187,5980
5,Master,Data Scientist,Small,42627,104
10,MBA,Data Analyst,Medium,67394,935
7,Bachelor,QA Engineer,Large,41967,2085
9,Master,Business Analyst,Small,49630,359
7,Master,Project Manager,Medium,50588,590
9,MBA,Project Manager,Small,70645,463
8,Bachelor,Data Scientist,Small,47399,384
12,PhD,Data Scientist,Large,66282,9466
2,Master,Data Analyst,Medium,46876,1488
1,PhD,QA Engineer,Large,50851,6066
16,PhD,Business Analyst,Large,66637,9989
5,Master,QA Engineer,Medium,43941,683
3,MBA,Project Manager,Medium,57279,1485
12,Master,QA Engineer,Medium,62212,507
8,Bachelor,Data Analyst,Large,43041,4710
3,Bachelor,QA Engineer,Medium,42547,1726
1,Master,Business Analyst,Medium,49833,1782
3,PhD,Project Manager,Medium,54249,1908
5,Bachelor,Software Developer,Small,43277,304
15,Bachelor,Project Manager,Medium,62725,1524
14,Master,Software Developer,Large,58644,3598
3,Master,Business Analyst,Small,42702,108
1,MBA,Project Manager,Large,65503,7733
5,Master,Project Manager,Small,45149,85
14,Master,Project Manager,Medium,58199,839
7,Bachelor,Project Manager,Small,41928,107
9,Bachelor,Data Analyst,Large,36278,4759
15,Bachelor,Data Scientist,Small,46057,362
15,PhD,Project Manager,Medium,60686,1309
10,Bachelor,Data Analyst,Medium,48248,1189
13,Bachelor,Business Analyst,Large,52434,9028
19,Master,Project Manager,Small,65573,156
7,MBA,QA Engineer,Large,61052,6036
17,Bachelor,Project Manager,Large,52679,5750
20,MBA,Project Manager,Large,95751,9543
4,Bachelor,Software Developer,Medium,37409,1091
5,Bachelor,QA Engineer,Small,44260,142
7,MBA,Project Manager,Medium,69899,934
13,Master,Project Manager,Medium,58913,1315
15,Bachelor,Project Manager,Medium,52748,794
11,MBA,Data Analyst,Small,63519,440
4,Bachelor,Business Analyst,Medium,34994,1337
13,PhD,Software Developer,Medium,61464,1432
7,PhD,Project Manager,Medium,55705,1756
19,PhD,Business Analyst,Small,70601,357
2,PhD,Software Developer,Small,46793,356
10,Master,Software Developer,Large,50597,7181
13,PhD,Software Developer,Medium,70533,1599
6,MBA,Project Manager,Medium,58066,1085
12,Bachelor,Data Analyst,Small,46977,142
12,MBA,Project Manager,Small,63876,63
20,PhD,Project Manager,Medium,86301,1514
11,Master,Business Analyst,Large,44433,4814
7,PhD,Data Scientist,Large,54641,8006
1,PhD,Data Scientist,Medium,58301,986
1,Master,Data Scientist,Large,49108,2866
20,Master,Business Analyst,Large,66708,2693
13,Master,QA Engineer,Medium,59052,876
9,Master,Business Analyst,Large,46394,8376
3,Master,Software Developer,Small,36966,251
7,Master,Project Manager,Medium,46120,578
6,Bachelor,QA Engineer,Small,40604,457
8,PhD,Software Developer,Medium,60194,1906
9,PhD,Project Manager,Small,58335,471
5,Master,Project Manager,Large,55341,5405
1,MBA,Software Developer,Small,58509,307
19,Master,Business Analyst,Small,55680,248
10,Bachelor,Data Scientist,Small,40816,169
12,MBA,QA Engineer,Small,68499,422
15,Bachelor,Project Manager,Small,50441,340
9,MBA,Data Analyst,Medium,66710,693
20,MBA,Project Manager,Small,83919,269
17,Master,Data Scientist,Small,64432,217
17,Bachelor,Project Manager,Medium,50926,1701
20,MBA,Data Analyst,Medium,85950,843
12,Bachelor,Business Analyst,Large,48681,8273
7,Master,Project Manager,Small,49642,227
2,Master,QA Engineer,Small,38891,203
3,Master,Business Analyst,Large,46662,8392
17,Master,Data Analyst,Small,63156,401
5,PhD,Software Developer,Large,61377,9170
17,MBA,Project Manager,Medium,73228,1638
17,PhD,Business Analyst,Small,68893,192
17,Master,Project Manager,Small,63283,412
2,MBA,QA Engineer,Medium,59938,1618
2,MBA,Project Manager,Small,64896,264
5,Bachelor,Business Analyst,Medium,38088,1466
1,Master,Data Scientist,Medium,44594,1549
1,PhD,Business Analyst,Large,52033,5986
