movie_id,genre_id
0,12
1,5
1,10
2,5
2,14
2,15
2,8
3,12
3,0
3,17
4,12
5,1
5,17
6,14
7,11
7,14
8,14
8,12
9,9
9,6
10,14
11,14
11,12
11,0
11,17
12,14
13,5
13,8
14,1
15,12
16,13
16,11
16,14
17,12
17,16
17,0
18,12
19,3
19,8
20,12
20,3
20,8
21,11
21,14
22,12
22,16
23,5
23,15
23,12
24,15
24,12
25,5
25,12
26,12
26,0
26,8
27,12
28,14
28,12
28,0
29,0
29,8
30,13
30,14
30,12
31,14
32,14
32,0
33,13
33,14
33,9
33,16
34,12
34,0
35,5
35,15
35,12
35,8
36,12
37,5
37,15
37,8
38,5
38,13
38,14
38,10
39,0
39,17
40,12
40,2
41,14
41,0
42,5
42,3
42,8
43,14
43,4
44,5
44,12
45,12
45,9
45,3
45,0
45,8
46,1
47,12
47,0
47,10
48,12
49,12
50,12
51,15
51,3
51,8
52,1
53,14
53,15
54,12
54,7
55,12
56,4
57,12
57,10
58,5
58,8
59,1
60,14
60,12
60,0
61,14
62,12
63,14
63,0
64,14
64,10
65,14
65,0
66,14
66,0
67,15
67,12
68,1
69,14
69,12
70,12
71,14
71,9
71,10
72,14
73,3
74,14
74,9
74,0
75,3
76,12
76,0
77,14
77,9
77,3
78,14
78,15
78,12
79,12
79,16
80,12
80,7
80,0
80,8
81,14
81,3
82,12
82,4
83,14
83,15
83,7
83,8
84,14
85,13
86,1
87,5
87,12
87,7
87,10
87,8
88,5
88,15
88,12
88,8
89,12
89,17
90,14
90,12
90,3
91,12
91,9
91,3
91,7
91,8
92,12
92,17
93,1
93,6
94,13
94,11
94,9
94,10
95,5
95,14
95,15
95,12
95,8
96,5
96,13
96,14
96,15
96,12
96,0
96,8
97,15
97,12
97,0
98,5
98,10
99,5
99,10
99,8
100,14
101,14
102,5
103,3
104,11
104,14
104,0
105,3
106,14
107,15
107,8
108,15
108,12
108,0
109,14
109,12
110,15
110,3
110,8
111,14
111,1
112,5
112,15
112,12
113,15
114,14
115,5
115,10
115,8
116,11
117,14
118,5
118,14
118,15
119,14
119,12
120,5
120,15
121,15
121,2
122,14
123,12
124,3
124,8
125,15
125,0
125,8
126,1
127,12
127,10
128,12
128,10
128,8
129,13
129,14
129,9
130,12
130,17
130,4
131,3
131,8
132,12
133,5
133,12
133,8
134,12
135,14
135,0
136,11
136,14
137,8
138,14
138,3
139,5
139,13
139,3
140,5
140,12
141,14
142,14
142,0
143,5
143,12
143,10
144,12
145,12
145,1
146,12
146,0
147,5
148,14
148,10
149,5
149,9
150,14
150,12
151,14
151,15
152,12
152,9
153,12
153,17
154,14
154,8
155,14
155,10
156,14
157,14
157,12
157,16
158,8
159,14
160,12
160,8
161,3
161,8
162,3
162,8
163,12
164,14
165,1
166,3
166,8
167,5
167,13
167,11
167,15
168,12
168,0
168,4
169,12
170,5
170,11
170,14
171,3
171,0
171,10
172,12
172,17
173,3
173,8
174,5
174,3
174,8
175,14
175,16
176,14
176,10
177,12
177,0
178,12
179,5
179,15
179,12
179,3
179,8
180,14
180,12
180,9
181,15
181,12
181,2
182,14
182,16
183,12
183,0
184,9
184,3
185,17
186,12
187,14
187,12
188,9
188,10
189,5
189,15
189,8
190,5
190,8
191,12
192,14
193,12
194,12
195,5
195,8
195,4
196,14
196,3
196,6
197,14
197,12
198,12
199,5
199,15
199,12
199,8
200,12
201,5
201,9
202,15
202,12
202,7
202,0
202,8
203,12
203,7
203,8
204,5
204,12
204,10
204,8
205,13
205,11
205,14
205,16
206,3
207,5
207,10
208,5
208,14
209,15
209,12
209,8
210,14
210,10
211,14
211,15
211,12
211,8
212,12
212,9
212,10
213,14
213,0
214,1
215,12
216,14
217,12
217,8
218,14
218,0
219,5
219,14
219,0
220,13
220,10
221,12
222,10
223,5
223,15
223,8
224,12
225,5
225,14
225,15
226,14
227,5
227,9
227,3
228,14
228,12
229,14
229,12
229,0
230,14
230,15
230,12
231,5
231,10
232,3
232,7
232,8
233,12
234,13
234,11
235,14
235,15
236,13
237,5
237,9
237,6
238,5
238,3
238,10
238,8
239,1
240,12
241,14
241,12
241,0
242,12
243,12
243,0
244,14
245,12
246,12
246,0
247,14
247,12
248,5
248,15
248,9
248,8
249,12
250,5
250,15
250,12
250,8
251,14
251,3
251,16
252,12
253,14
254,12
254,0
255,15
255,12
255,8
256,5
257,14
257,12
257,10
258,14
258,0
259,5
259,12
259,10
259,8
260,12
261,14
261,0
262,14
262,9
262,3
263,12
263,0
264,12
264,8
265,5
265,15
265,12
265,8
266,12
267,10
268,5
268,12
268,8
269,13
269,14
270,12
271,5
271,14
272,12
272,7
272,8
273,14
273,12
274,5
274,14
275,14
275,12
276,15
276,12
276,8
277,5
277,14
277,15
277,12
277,8
278,14
278,3
279,14
279,12
279,17
280,5
280,15
281,5
281,15
281,8
282,14
282,0
283,12
283,0
284,12
284,8
285,14
285,3
286,3
286,10
286,8
