movie_id,actor_id
0,517
0,1481
0,764
0,1230
0,691
0,988
1,614
1,82
1,1988
1,1902
1,1796
1,479
1,1562
1,1914
1,1844
2,220
2,862
2,872
2,1585
2,551
2,1953
2,1182
2,820
2,1214
2,58
2,335
3,1888
3,615
3,1815
3,1222
3,1976
4,406
4,1948
4,1991
4,1163
4,1539
4,285
4,266
4,1358
4,682
4,1614
4,1965
5,633
5,1623
5,1568
5,289
6,939
6,810
6,338
6,943
6,1
6,1348
6,302
6,410
7,617
7,629
7,164
7,378
7,483
8,894
8,184
8,1483
8,501
8,315
8,1402
9,10
9,977
9,326
9,705
9,204
9,964
9,1126
9,1406
10,1869
10,967
10,1368
10,770
10,1702
10,949
11,1562
11,1877
11,196
11,793
11,263
11,651
12,818
12,1583
12,669
12,1839
12,579
13,1222
13,806
13,1093
13,146
13,710
13,1000
13,1371
13,1516
13,1987
14,454
14,1813
14,1246
15,755
15,741
15,696
15,1026
15,1685
15,3
16,1873
16,158
16,1322
16,471
16,282
16,1023
16,384
16,90
16,432
17,190
17,695
17,786
17,1339
17,368
17,871
17,308
17,583
17,637
18,71
18,534
18,1963
18,1955
18,863
18,367
18,334
18,815
18,1397
18,1059
19,952
19,1651
19,169
19,709
20,1343
20,1766
20,828
20,1645
21,329
21,653
21,263
22,786
22,1405
22,931
22,23
22,995
22,1339
22,1965
22,1372
22,822
22,865
22,1579
23,870
23,529
23,1519
23,1298
23,237
23,1236
23,1652
24,1028
24,763
24,1599
24,969
24,1458
24,686
24,1728
24,1095
24,1990
24,747
25,868
25,1088
25,1555
25,785
25,1782
26,307
26,14
26,690
26,1941
27,404
27,1054
27,1664
27,1258
27,1490
27,1786
27,931
28,951
28,576
28,81
29,942
29,751
29,102
29,1821
29,1227
29,1405
29,756
29,516
29,871
29,691
30,1570
30,1677
30,48
30,1111
30,547
30,366
30,600
31,35
31,914
31,664
31,609
31,1302
31,72
31,1220
31,228
31,731
32,1088
32,1512
32,811
33,172
33,1095
33,193
33,258
33,1488
34,882
34,1828
34,562
34,707
34,1990
34,938
34,1411
34,1264
34,499
34,1881
35,1165
35,938
35,83
35,156
35,668
35,763
35,78
35,300
35,1247
35,2000
35,1482
36,782
36,1049
36,1485
36,161
37,865
37,820
37,45
37,376
37,1946
37,1529
37,526
38,1713
38,1868
38,887
38,1976
39,1169
39,534
39,620
39,1260
39,1052
39,1104
40,1421
40,1636
40,100
40,766
40,1174
40,968
41,562
41,1529
41,1410
41,1593
41,380
41,566
41,1027
41,1375
41,93
42,1863
42,371
42,1388
42,583
42,558
42,10
42,833
42,424
42,38
43,1345
43,265
43,562
43,546
43,947
43,1226
43,1618
43,1998
43,1300
44,453
44,460
44,37
44,1452
45,130
45,1252
