actor_id,character_id
0,1990
0,1082
0,1705
0,848
0,897
0,1158
0,1712
0,712
0,3181
0,273
0,1789
0,415
0,12
0,1360
0,667
0,65
0,1764
0,2626
0,686
0,1899
0,2769
1,1992
1,1107
1,212
1,610
1,2927
1,1975
1,3011
1,549
1,723
1,919
1,952
1,3118
1,854
1,2835
1,479
1,1728
1,2547
1,358
1,782
1,327
1,1100
1,1606
1,2448
1,1833
1,1184
1,179
1,1458
1,2615
2,1464
2,1611
2,2538
2,1761
2,2211
2,2299
2,2803
2,3116
2,2193
2,2178
2,356
2,1336
2,2310
2,3108
2,46
2,1331
2,1391
2,3020
2,410
2,1554
2,1285
2,98
2,1703
2,2111
3,870
3,1492
3,54
3,1544
3,389
3,658
3,714
3,818
3,1249
3,2731
3,2479
3,562
3,73
3,833
3,1784
3,2059
3,1354
3,1706
3,2375
3,144
4,1148
4,74
4,630
4,2050
4,665
4,775
4,1826
4,226
4,682
4,1946
4,3099
4,2922
4,2214
4,2392
4,2633
4,64
4,2332
4,2419
4,2717
4,1217
4,1641
4,2144
4,1999
4,2707
4,1372
4,2485
4,2702
5,1079
5,1489
5,1937
5,147
5,458
5,944
5,1696
5,2368
5,2075
5,2421
5,1078
5,1231
5,1398
5,2819
5,702
5,1513
5,2394
5,1057
5,1132
5,1546
5,495
5,566
5,985
5,1205
5,1390
5,1317
5,2607
5,2688
5,2852
5,1767
5,847
5,1577
5,1731
5,310
5,2333
5,2480
6,592
6,349
6,435
6,1210
6,2038
6,2724
6,2728
6,2647
6,2833
6,3200
6,1408
6,3100
6,871
6,890
6,1228
6,2337
6,2926
6,791
6,1451
6,14
6,307
6,381
6,2613
6,82
7,1622
7,1293
7,1507
7,1513
7,648
7,854
7,2336
7,2558
7,1757
7,1784
7,2005
7,2227
7,311
7,1623
7,299
7,589
7,2095
7,2214
7,3096
7,1123
7,2840
7,2252
7,1634
7,1912
7,495
7,3059
7,2755
7,99
7,1132
7,2759
8,1142
8,2487
8,1079
8,1563
8,1921
8,963
8,1032
8,1257
8,1794
8,1662
8,2925
8,3235
8,612
8,879
8,1100
8,1717
8,1857
8,1318
8,2119
8,3012
8,992
8,2542
8,2052
8,519
8,714
8,1089
8,2093
8,280
8,2563
9,3186
9,1795
9,1533
9,2667
9,39
9,561
9,1296
9,1955
9,1732
9,2081
9,1521
9,2612
9,3119
9,1605
9,2496
9,2662
9,188
9,814
9,2074
9,2839
9,457
9,1353
9,1822
9,2127
9,2931
10,3092
10,1466
10,1430
10,2002
10,248
10,1728
10,3054
10,1166
10,2085
10,3036
10,297
10,312
10,648
10,965
10,1661
10,191
10,339
10,1807
10,1441
10,1857
10,2053
10,2752
10,1561
10,2550
11,1930
11,84
11,3192
11,532
11,2148
11,252
11,690
11,2049
11,1499
11,94
11,1161
11,1891
11,1709
11,2597
11,292
11,473
11,731
11,2678
11,2317
12,1172
12,3166
12,1157
12,1751
12,2216
12,772
12,1869
12,2901
12,822
12,1415
12,969
12,2324
12,119
12,632
12,1935
12,615
12,2527
12,1713
12,2639
12,293
12,1644
12,2840
12,2266
13,459
